name,aliases,sectors,hq_city,hq_state,hq_region,website,round_stage,round_amount_musd,round_val_musd,round_date,headcount_est,description,sg_apac,familiarity,ats_type,ats_slug,flags,notes
ElevenLabs,,ai,New York,NY,other_us,elevenlabs.io,series_d,500,11000,2026-02,500,AI voice and audio generation,,no_status,ashby,,verify_hq,VERIFY HQ NY vs London
Sprinter Health,,ai|biotech,Menlo Park,CA,bay_area,sprinterhealth.com,series_b,55,,2025,100,In-home nursing and care ops,,no_status,,,verify_hq,
Databricks,Databricks Inc,ai,San Francisco,CA,bay_area,databricks.com,strategic,5000,190000,2026,10000,Data and AI platform,,no_status,,,manual_digest|late_stage,
Perplexity,Perplexity AI,ai,San Francisco,CA,bay_area,perplexity.ai,multiple,,,2025,700,AI answer engine,,no_status,,,memory_filled,
LangChain,,ai,San Francisco,CA,bay_area,langchain.com,,,,,60,Agent orchestration and dev tools,,no_status,,,verify_round,
Chroma,ChromaDB,ai,San Francisco,CA,bay_area,trychroma.com,,,,,30,Vector database for AI apps,,no_status,,,verify_round,
Glean,Glean Technologies,ai,Palo Alto,CA,bay_area,glean.com,series_f,150,7200,2025-06,800,Enterprise AI search and agents,,no_status,,,memory_filled,
Baseten,,ai,San Francisco,CA,bay_area,baseten.co,series_d,150,2100,2025-07,150,Model inference infrastructure,,no_status,,,memory_filled,
Crusoe,Crusoe Energy,ai,San Francisco,CA,bay_area,crusoe.ai,unknown,1400,10000,2025-12,700,AI data centers and cloud,,no_status,,,memory_filled,
Lambda,Lambda Labs,ai|deeptech,San Jose,CA,bay_area,lambda.ai,series_d,480,2500,2025-02,500,GPU cloud for AI training,,no_status,,,verify_independence|memory_filled,VERIFY: IPO filing reported - check status
d-Matrix,dMatrix,deeptech|ai,Santa Clara,CA,bay_area,d-matrix.ai,series_c,275,2000,2025-11,200,In-memory compute AI inference chips,investor?:SK|investor?:Samsung,no_status,,,,
EnCharge AI,EnCharge,deeptech|ai,Santa Clara,CA,bay_area,enchargeai.com,series_b,100,,2025-02,93,Analog in-memory AI accelerators for edge,investor:Samsung Ventures,no_status,,,,
Etched,Etched.ai,deeptech|ai,San Jose,CA,bay_area,etched.com,series_a,120,,2024,35,Transformer-only inference ASIC (Sohu),,no_status,,,verify_hq,
MatX,,deeptech|ai,Mountain View,CA,bay_area,matx.com,unknown,605,,2026-02,50,LLM-optimized AI chips,,no_status,,,,amount is cumulative
Positron AI,,deeptech|ai,Reno,NV,other_west,positron.ai,series_b,305,,2025,50,Transformer inference accelerators,,no_status,,,verify_hq,VERIFY HQ Reno vs Bay Area
SambaNova Systems,SambaNova,deeptech|ai,Palo Alto,CA,bay_area,sambanova.ai,unknown,,,2021,500,Dataflow AI chips and systems,investor:SoftBank,no_status,greenhouse,,round_dated,
Tenstorrent,Tenstorrent Inc,deeptech|ai,Santa Clara,CA,bay_area,tenstorrent.com,series_d,693,,2024,500,RISC-V and chiplet AI compute,investor:Samsung|investor:Hyundai|investor:LG,no_status,,,verify_hq,VERIFY HQ Santa Clara vs Toronto
Lightmatter,,deeptech|ai,Mountain View,CA,bay_area,lightmatter.co,series_d,400,,2024-10,200,Photonic interconnect for AI,,no_status,,,verify_hq,VERIFY HQ MV vs Boston
Ayar Labs,,deeptech|ai,Santa Clara,CA,bay_area,ayarlabs.com,series_e,500,3750,2026-03,200,Optical I/O chiplets for AI interconnect,,no_status,,,,
Celestial AI,,deeptech|ai,Santa Clara,CA,bay_area,celestial.ai,unknown,250,2500,2025,200,Photonic Fabric for AI memory interconnect,,no_status,,,,
DreamBig Semiconductor,,deeptech|ai,San Jose,CA,bay_area,dreambigsemi.com,series_b,,,2024,50,Chiplet platform and SmartNIC-DPU,investor?:Samsung Catalyst,no_status,,,verify_other,
Anello Photonics,,deeptech,Santa Clara,CA,bay_area,anellophotonics.com,series_b,,,2024,50,Silicon-photonic optical gyroscope,,no_status,,,verify_other,
Quilter,,deeptech|ai,Palo Alto,CA,bay_area,quilter.ai,series_b,25,,2025,30,Physics-AI automated PCB design,,no_status,,,,
Lumotive,,deeptech,Goleta,CA,socal,lumotive.com,series_b_ext,14,,2025,50,Programmable optical beam-steering chips,,no_status,,,verify_hq,
Eliyan,,deeptech|ai,Santa Clara,CA,bay_area,eliyan.com,series_b,60,,2024-11,50,Chiplet interconnect PHY,investor:Samsung Catalyst,no_status,,,memory_filled,
Rivos,,deeptech|ai,Santa Clara,CA,bay_area,rivosinc.com,unknown,250,,2024-04,300,RISC-V server silicon,investor?:MediaTek,no_status,,,memory_filled,
Ventana Micro Systems,Ventana,deeptech|ai,San Jose,CA,bay_area,ventanamicro.com,,,,,100,RISC-V datacenter CPUs,,no_status,,,verify_round,
SiFive,,deeptech|ai,Santa Clara,CA,bay_area,sifive.com,series_f,175,,2022,400,RISC-V processor IP,,no_status,,,round_dated|memory_filled,
Retym,,deeptech|ai,Santa Clara,CA,bay_area,retym.com,series_d,75,,2025-04,50,DSP for AI datacenter connectivity,,no_status,,,memory_filled,
Point2 Technology,Point2,deeptech|ai,San Jose,CA,bay_area,point2tech.com,series_b_ext,136,,2026,50,RF interconnect for AI datacenters,,no_status,,,manual_digest,
Kinetic Technologies,,deeptech,San Jose,CA,bay_area,kinet-ic.com,,,,,100,Automotive and power semiconductors,,no_status,,,manual_digest,
Figure AI,Figure|Figure Robotics,deeptech|ai,Sunnyvale,CA,bay_area,figure.ai,series_c,1000,39000,2025-09,300,General-purpose humanoid robots,,no_status,,,,
Physical Intelligence,Pi|Pi Intelligence|π,deeptech|ai,San Francisco,CA,bay_area,physicalintelligence.company,series_b,600,5600,2025-11,100,Robot foundation models cross-embodiment,,no_status,,,,
Skild AI,Skild,deeptech|ai,Pittsburgh,PA,other_us,skild.ai,unknown,1400,14000,2026-01,100,Omni-bodied robot foundation model,investor?:SoftBank,no_status,,,,
Field AI,,deeptech|ai,Mission Viejo,CA,socal,fieldai.com,multiple,405,,2025,100,Field-robotics brain software for any robot,investor_lead:Temasek,no_status,,,sg_warm_path,strongest SG warm-path candidate; existing IMDA/NRP relationship
Dexterity,,deeptech|ai,Redwood City,CA,bay_area,dexterity.ai,series_c,,1650,2024,200,AI warehouse manipulation robots,,no_status,,,,
Collaborative Robotics,Cobot,deeptech|ai,Santa Clara,CA,bay_area,co.bot,series_b,100,,2024,100,Human-centric collaborative mobile robots,,no_status,,,verify_hq,
Bright Machines,,deeptech|ai,San Francisco,CA,bay_area,brightmachines.com,series_c,126,,2024,200,Robotic factory automation with vision,,no_status,,,,includes debt
Standard Bots,,deeptech|ai,Glen Cove,NY,other_us,standardbots.com,series_b,,,2024,100,Affordable 6-axis robotic arms,,no_status,,,verify_hq,
Amp Robotics,AMP,deeptech|ai,Louisville,CO,other_us,amprobotics.com,series_d,91,,2024,300,AI recycling sorting robots,,no_status,,,,
Ambi Robotics,Ambi,deeptech|ai,Berkeley,CA,bay_area,ambirobotics.com,,,,,100,AI parcel sorting robots,,no_status,,,verify_round,
Chef Robotics,,deeptech|ai,San Francisco,CA,bay_area,chefrobotics.ai,series_a,43,,2025-02,100,Food assembly robots,,no_status,,,memory_filled,
Matic,Matic Robots,deeptech|ai,Mountain View,CA,bay_area,maticrobots.com,,,,,50,Autonomous home robots,,no_status,,,verify_round,
Nuro,,deeptech|ai,Mountain View,CA,bay_area,nuro.ai,series_e,106,6000,2025-04,500,Autonomous delivery and licensing,,no_status,,,memory_filled,
Zipline,,deeptech|ai,South San Francisco,CA,bay_area,flyzipline.com,unknown,330,4200,2023,1000,Drone delivery logistics,,no_status,,,round_dated|memory_filled,
PsiQuantum,PsiQuantum Corp,deeptech,Palo Alto,CA,bay_area,psiquantum.com,unknown,1000,,2025,400,Photonic fault-tolerant quantum computing,,no_status,,,,
SandboxAQ,Sandbox AQ,deeptech|ai,Palo Alto,CA,bay_area,sandboxaq.com,series_e,450,5700,2025-04,400,Quantum plus AI for security and sensing,,no_status,,,,
Atom Computing,,deeptech,Berkeley,CA,bay_area,atom-computing.com,series_b,60,,2022,100,Neutral-atom quantum computers,,no_status,,,round_dated|memory_filled,
Varda Space Industries,Varda|Varda Space,deeptech,El Segundo,CA,socal,varda.com,series_c,187,,2025,100,In-space manufacturing and reentry capsules,,no_status,,,,
Apex Space,Apex|Apex Technology,deeptech|defence_tech,Los Angeles,CA,socal,apexspace.com,series_d,200,1000,2025-09,304,Mass-produced satellite bus platforms,,no_status,,,,
K2 Space,K2 Space Corporation,deeptech|defence_tech,Torrance,CA,socal,k2space.com,series_d,500,6800,2026-07,200,Mega-class satellite buses,,no_status,,,,
Array Labs,,deeptech,Palo Alto,CA,bay_area,arraylabs.io,unknown,20,,2025,30,3D radar-imaging satellite constellation,,no_status,,,verify_hq,
Sila Nanotechnologies,Sila,deeptech,Alameda,CA,bay_area,silanano.com,,,,,300,Silicon anode battery materials,,no_status,,,manual_digest|verify_round,
Neuralink,,biotech|deeptech,Fremont,CA,bay_area,neuralink.com,series_e,650,,2025-06,300,Brain-computer interfaces,,no_status,,,memory_filled,
Science Corporation,Science Corp,biotech|deeptech,Alameda,CA,bay_area,science.xyz,,,,,150,Neural interfaces and biostack,,no_status,,,verify_round,
Epicrispr Biotechnologies,Epicrispr|Epic Bio,biotech,South San Francisco,CA,bay_area,epicrispr.com,series_b,68,,2025-03,50,Epigenetic editing therapeutics,,no_status,,,,
Marea Therapeutics,,biotech,South San Francisco,CA,bay_area,mareatx.com,multiple,190,,2025,30,Cardiometabolic therapeutics,,no_status,,,,
Ampersand Biomedicines,,biotech,Cambridge,MA,other_us,ampersandbio.com,series_b,65,,2025,50,Addressed biologics platform,,no_status,,,,
Character Biosciences,,biotech|ai,New York,NY,other_us,character.bio,series_b,93,,2025,50,AI-driven genetics for AMD therapeutics,,no_status,,,,
Iambic Therapeutics,,biotech|ai,San Diego,CA,san_diego,iambic.ai,unknown,125,,2025-12,100,Generative-AI drug discovery,,no_status,,,,
Actio Biosciences,,biotech,San Diego,CA,san_diego,actiobio.com,series_b,66,,2025-06,30,Precision therapies for genetic diseases,,no_status,,,,
Neomorph,,biotech,San Diego,CA,san_diego,neomorph.com,series_b,100,,2026-04,50,Molecular-glue degraders,,no_status,,,,
RayThera,,biotech,San Diego,CA,san_diego,raythera.com,launch,110,,2025,30,Small-molecule immunology,,no_status,,,,
Crystalys Therapeutics,,biotech,San Diego,CA,san_diego,crystalystx.com,unknown,205,,2025,30,Urate-lowering therapeutics,,no_status,,,verify_other,
Sidewinder Therapeutics,,biotech,San Diego,CA,san_diego,,series_b,137,,2026-04,30,Bispecific antibody-drug conjugates,,no_status,,,verify_other,VERIFY name and website
Terray Therapeutics,,biotech|ai,Monrovia,CA,socal,terraytx.com,series_b,,,2025,100,AI small-molecule discovery,,no_status,,,,
Capstan Medical,,biotech|deeptech,Santa Cruz,CA,bay_area,capstanmedical.com,series_c,110,,2024,100,Surgical robot for heart-valve implants,,no_status,,,,
Virtual Incision,,biotech|deeptech,Lincoln,NE,other_us,virtualincision.com,series_c_ext,30,,2024,50,Miniaturized surgical robot MIRA,,no_status,,,,
XCath,,biotech|deeptech,Houston,TX,other_us,xcath.com,series_c,30,,2025,30,Neurovascular surgical robotics,,no_status,,,verify_other,
Cala Health,Cala,biotech,San Mateo,CA,bay_area,calahealth.com,,,,,100,Wearable neuromodulation therapy,,no_status,,,verify_round,
Noah Medical,,biotech|deeptech,San Carlos,CA,bay_area,noahmed.com,series_b,150,,2023-04,300,Surgical robotics for bronchoscopy,,no_status,,,memory_filled,
Moon Surgical,,biotech|deeptech,San Francisco,CA,bay_area,moonsurgical.com,,,,,100,Surgical assistance robot Maestro,,no_status,,,verify_round,
Freenome,,biotech|ai,South San Francisco,CA,bay_area,freenome.com,unknown,254,,2024-02,400,Blood-based cancer screening,,no_status,,,memory_filled,
Anduril Industries,Anduril,defence_tech|ai|deeptech,Costa Mesa,CA,socal,anduril.com,series_h,5000,61000,2026-05,4000,Autonomous defence systems and Lattice AI,,no_status,lever,,prime,
Shield AI,Shield AI Inc,defence_tech|ai,San Diego,CA,san_diego,shield.ai,unknown,240,12700,2025,1000,Autonomous pilot AI Hivemind and V-BAT,,no_status,,,prime,
Skydio,,defence_tech|ai|deeptech,San Mateo,CA,bay_area,skydio.com,series_f,110,4400,2026-04,900,Autonomous drones defence and public safety,,no_status,,,,
Applied Intuition,Applied Intuition Inc,defence_tech|ai,Mountain View,CA,bay_area,appliedintuition.com,series_f,600,15000,2025-06,1300,Dual-use autonomy and vehicle software,,no_status,greenhouse,,,
Epirus,,defence_tech|deeptech,Torrance,CA,socal,epirusinc.com,series_d,250,,2025-03,300,High-power microwave counter-UAS Leonidas,,no_status,lever,,,
CHAOS Industries,CHAOS|Chaos Inc,defence_tech|deeptech,Los Angeles,CA,socal,chaosinc.com,series_d,510,4500,2025-11,233,Advanced radar for air and missile defence,,no_status,,,,
CX2,,defence_tech|ai,El Segundo,CA,socal,cx2.com,series_a,31,,2025-05,57,AI-enabled electronic warfare,,no_status,,,,
Overland AI,Overland,defence_tech|ai,Seattle,WA,seattle,overland.ai,unknown,100,,2026-02,40,Off-road ground autonomy stack,,no_status,,,,
Firestorm Labs,Firestorm,defence_tech|deeptech,San Diego,CA,san_diego,launchfirestorm.com,series_b,82,,2026-04,100,Expeditionary 3D-printed modular drones,,no_status,,,,
Mach Industries,Mach,defence_tech|deeptech,Huntington Beach,CA,socal,machindustries.com,series_c,300,1800,2026-06,258,Vertically integrated defence manufacturing,,no_status,,,,
Castelion,,defence_tech|deeptech,El Segundo,CA,socal,castelion.com,series_b,350,,2025-12,100,Low-cost hypersonic strike weapons,,no_status,,,verify_hq,VERIFY HQ El Segundo vs Torrance
Neros Technologies,Neros|Neros Technologies Inc,defence_tech|deeptech,El Segundo,CA,socal,neros.tech,series_c,250,2500,2026-08,159,Mass-produced NDAA-compliant FPV drones,,no_status,,,,
Picogrid,,defence_tech|ai,El Segundo,CA,socal,picogrid.com,series_a,45,,2026-05,30,Universal integration layer for defence C2,,no_status,,,,
Hadrian,Hadrian Automation|Hadrian Manufacturing,defence_tech|deeptech,Torrance,CA,socal,hadrian.co,multiple,260,,2026,300,AI-automated precision-parts factories,,no_status,,,verify_other,VERIFY Series D details; prior round: $260M Series C
Vannevar Labs,Vannevar,defence_tech|ai,Palo Alto,CA,bay_area,vannevarlabs.com,series_b,75,,2023-01,100,AI intelligence software for national security,,no_status,,,round_dated,
