name,geography,hq_city,hq_state,sector,round_stage,amount_musd,found_in
"Blue Voice",non_us,"",,ai_software,,6,"TechCrunch — Startups: Harvard Law dropout raises $6M for Blue Voice to build a ‘Harvey for police officers’"
"Cloover",non_us,"Berlin",Germany,ai_software,,,"EU-Startups: Berlin-based Cloover secures €86.2 million facility as it reaches profitability and launches AI-native neo-utility"
"DataAgent",non_us,"",,ai_software,seed,10,"SiliconANGLE: DataAgent raises $10M to let AI fix production faults inside Kubernetes clusters"
"Empirik",non_us,"",,ai_software,seed,21,"Techmeme: Empirik, which uses AI to predict and prevent IT outages by analyzing system changes and their effects, raised a $21M seed and spins out from Sequoia Capital (Marina Temkin/TechCrunch)"
"Fambot",non_us,"",,ai_software,,,"TechCrunch — Startups: Fambot introduces an ‘AI chief of staff’ for families"
"FileAI",non_us,"Singapore",,ai_software,,,"Tech in Asia: SMBC, Singtel back SG automation startup FileAI"
"HITAI",non_us,"London",United Kingdom,ai_software,,,"EU-Startups: London’s HITAI acquires YC-backed fitness gaming studio Quell to boost its sports motion-tracking platform"
"Tripo",non_us,"",,ai_software,series_b,447,"Tech in Asia: Chinese 3D AI startup Tripo raises $447m in series B"
"Evonik",non_us,"Essen",Germany,biotech_platforms,,,"PR Newswire — news releases: Evonik expands lipid-based drug delivery capabilities with new GMP manufacturing facility in Vancouver"
"OmicsBank",non_us,"",,biotech_platforms,,2,"Endpoints News: OmicsBank raises $2.25M to bring overseas patient data to biopharma"
"Qiagen",non_us,"Hilden",Germany,biotech_platforms,,,"Fierce Biotech: Qiagen appoints new chief executive after 9-month search"
"Jollibee",non_us,"Pasig",Philippines,commerce,,,"Nikkei Asia: Jollibee announces plan to list international spinoff in Hong Kong"
"Sushiro",non_us,"Suita",Japan,commerce,,,"Nikkei Asia: Sushiro bets on affordable sushi as Japan restaurant chains expand in US"
"Atorie",non_us,"",,commerce_marketplaces,,10,"TechCrunch: Fashion startup Atorie raises $9.5M to bring consumers luxury goods without the markup"
"GetGo",non_us,"Singapore",,commerce_marketplaces,,,"The Straits Times: GetGo launches cross-border car rentals to Malaysia"
"IKEA",non_us,"Delft",Netherlands,commerce_marketplaces,,,"The Straits Times: Ikea invests $1.8 billion in Europe price cuts to lure cautious consumers"
"RedMart",non_us,"Singapore",Singapore,commerce_marketplaces,,,"The Straits Times: RedMart Now expands express delivery service to Punggol, Sengkang, Yishun and Woodlands"
"Shein",non_us,"Singapore",,commerce_marketplaces,,,"Nikkei Asia: Fast-fashion retailer Shein falls flat after long-awaited Hong Kong IPO"
"Uniqlo",non_us,"Yamaguchi",Japan,commerce_marketplaces,,,"Nikkei Asia: Uniqlo to double flagship stores in Japan in strategy pivot"
"AIR",non_us,"",,cybersecurity,,50,"TechCrunch — Security: AIR raises $50M to help companies vet the skills and add-ons AI agents use"
"AIR Security",non_us,"",,cybersecurity,,,"SiliconANGLE: AIR Security launches with $50M to build a firewall for AI agents"
"Lunar Cyber",non_us,"",,cybersecurity,,,"Business Insider — Markets: Lunar Cyber Launches Token Exposure Monitoring as Infostealers Target Developer and AI Credentials"
"Pistachio",non_us,"Oslo",Norway,cybersecurity,,,"SiliconANGLE: Pistachio acquires Hugin.io to launch cybersecurity compliance platform"
"xorlab",non_us,"Zurich",Switzerland,cybersecurity,series_a,,"EU-Startups: Zurich-based xorlab secures €5 million to scale sovereign email security across Europe"
"Aslan",non_us,"",,defence_software,,21,"Techmeme: Aslan, which offers AI agents for the FBI and wider intelligence community that can pose as analysts and undercover spies in online forums, raised $20.8M (Sam Sabin/Axios)"
"Penguin International",non_us,"Singapore",Singapore,defence_systems,,,"The Business Times — Singapore: Shipbuilder Penguin International wins first prime contract with Singapore Navy"
"Holifya",non_us,"Milan",Italy,digital_health,,,"Tech.eu: Italian obesity digital clinic Holifya raises €2M to scale AI-supported GLP-1 care"
"Temple",non_us,"Bangalore",India,digital_health,,,"Tech in Asia: Deepinder Goyal’s Temple acquires UK longevity startup Longevous"
"Great Eastern",non_us,"Singapore",Singapore,financial_services,,,"The Straits Times: Insurer Great Eastern invests in Granite private credit fund: Sources"
"MUFG",non_us,"Tokyo",Japan,financial_services,,,"Nikkei Asia: MUFG teams up with BlackRock to raise overseas funds for Japan M&A"
"OCBC",non_us,"Singapore",Singapore,financial_services,,,"The Straits Times: Mega projects in Singapore’s road map could unlock multi-decade investment story: OCBC"
"SBI Holdings",non_us,"Tokyo",Japan,financial_services,,,"Nikkei Asia: Japan's SBI to take stake in Indonesian digital broker Ajaib in crypto push"
"UOB Private Bank",non_us,"Singapore",Singapore,financial_services,,,"The Business Times — Singapore: UOB Private Bank appoints UBS’ Dominique Boer as Asean market head"
"FundPark",non_us,"Hong Kong",,fintech,,,"Tech in Asia: Citi backs HK fintech firm FundPark with $250m funding facility"
"Hyperliquid",non_us,"",,fintech,,,"Techmeme: Sources: Hyperliquid is in talks to enter the US market through Kraken parent Payward, weeks after Trump said he was working to bring the platform onshore (Bloomberg)"
"Kaspi",non_us,"Almaty",Kazakhstan,fintech,,,"Nikkei Asia: Kazakhstan's Kaspi expands Turkey digital offerings after bank deal"
"Aster",non_us,"",,investment_funds,,,"The Business Times — Singapore: Aster marks third Singapore deal with Changi Airport fuel infrastructure stake"
"Auxxo",non_us,"Berlin",Germany,investment_funds,,,"EU-Startups: Berlin’s Auxxo closes Female Catalyst Fund II at €33.3 million and launches founder matchmaking platform"
"Capital F",non_us,"Munich",Germany,investment_funds,,17,"TechCrunch — Venture: Capital F closes $17M debut fund with goal to back the future of the ‘female economy’"
"DSG Consumer Partners",non_us,"Singapore",,investment_funds,,,"Tech in Asia: DSG Consumer Partners buys Singapore recovery brand Bback"
"Epiris",non_us,"London",United Kingdom,investment_funds,,,"Techmeme: Private equity firm Epiris agrees to acquire European enterprise comms provider Gamma Communications for ~£1B, a 53% premium to Gamma's share price on April 7 (Shona Ghosh/Bloomberg)"
"Redstone",non_us,"",,investment_funds,,,"EU-Startups: Redstone unveils €10 million fund targeting DeepTech, defence and energy transition in Finland"
"StrictlyVC",non_us,"",,investment_funds,,,"TechCrunch — Startups: AI, athletes, and Keith Rabois: StrictlyVC is back in New York on September 10"
"Uplift Ventures",non_us,"",,investment_funds,series_a,,"TechFundingNews: Uplift Ventures launches €100M fund for Europe’s deep tech Series A gap"
"Gojek",non_us,"Jakarta",Indonesia,logistics_supply_chain,,,"Tech in Asia: Gojek Singapore expands Zig tie-up for GoTaxi"
"Midwest Logistics Systems",non_us,"",,logistics_supply_chain,,,"Business Wire — High Tech: Midwest Logistics Systems invests in future drivers through company-sponsored CDL training program"
"Ki 13",non_us,"",,materials_energy,seed,5,"Tech.eu: Ki 13 raises $5M for affordable synthetic fuels"
"Meissner",non_us,"",,materials_energy,seed,3,"The Quantum Insider: Meissner Raises $2.6 Million to Search For New Superconducting Materials"
"Sembcorp",non_us,"Singapore",Singapore,materials_energy,,,"The Straits Times: Sembcorp’s renewables unit in India files for $500 million IPO"
"Terra Charge",non_us,"Tokyo",Japan,materials_energy,,,"Nikkei Asia: Japan's Terra Charge to roll out Tesla-compatible EV charging stations"
"Viettel",non_us,"Hanoi",Vietnam,networking_connectivity,,,"Nikkei Asia: Vietnam telco Viettel expands into Dominican Republic in global push"
"Amos Food",non_us,"Singapore",Singapore,other,,,"South China Morning Post — Business: Amos Food plans Hong Kong listing to expand global sweets empire"
"DuckLabs",non_us,"Amsterdam",Netherlands,other,,,"ducklabs.com: DuckLabs to Join AWS, Projects to Remain Open Source"
"Frencken",non_us,"Singapore",Singapore,other,,,"The Business Times — Singapore: Frencken proposes S$100 million placement to fund expansion, potential M&A"
"JioHotstar",non_us,"Mumbai",India,other,,,"Techmeme: India's JioHotstar launches internationally without live sports, replacing Hotstar in the UK, Canada, and Singapore; the company says it has 500M+ MAUs in India (TechCrunch)"
"Lululemon",non_us,"Vancouver",Canada,other,,,"Nikkei Asia: From yoga to Hyrox, Lululemon taps Asian trends with new Tokyo store"
"Nevvon",non_us,"",,other,,,"Business Wire — High Tech: Nevvon Receives Strategic Investment from BVP Forge"
"Ploughshare",non_us,"London",United Kingdom,other,,,"Tech.eu: Ploughshare’s TAG Alliance grows to 19 members as defence spin-outs accelerate"
"Springer Nature",non_us,"Berlin",Germany,other,,,"Business Insider — Markets: EQS-News: Springer Nature appoints Patric Somlo as Chief Financial Officer"
"Suzuki",non_us,"Hamamatsu",Japan,other,,,"Nikkei Asia: Suzuki launches 'kei'-sized model in Brunei, made in Pakistan"
"Symmatrics",non_us,"",,other,,,"The Quantum Insider: Symmatrics Launches AI and Post-Quantum Readiness Pledge"
"Volkswagen",non_us,"Wolfsburg",Germany,other,,,"South China Morning Post — Business: Volkswagen launches inquiry into Changzhou supplier following mass graduate lay-offs"
"INLEAP Photonics",non_us,"Garching",Germany,photonics,,,"Tech.eu: INLEAP Photonics raises €20M to expand laser counter-drone systems"
"Anyon Systems",non_us,"Montreal",Canada,quantum,,,"The Quantum Insider: Anyon Systems and KMT Technologies Partner to Expand Quantum Computing Deployment"
"ColibriTD",non_us,"",,quantum,,,"Tech.eu: ColibriTD secures €4M to scale its quantum simulation platform"
"Diffraqtion",non_us,"",,quantum,seed,10,"The Quantum Insider: Diffraqtion Raises More Than $10M for Quantum Camera Development"
"Pasqal",non_us,"Massy",France,quantum,,,"The Quantum Insider: Pasqal and KACST Partner on Quantum-Safe Cryptography Research"
"QTREX",non_us,"",,quantum,,,"The Quantum Insider: QTREX to Unveil 17,280-Line Cryogenic Interconnect Architecture at IEEE Quantum Week"
"S-Transistors",non_us,"Espoo",Finland,quantum,,,"EU-Startups: Finland’s S-Transistors raises €2.6 million to build the world’s first quantum motherboard"
"Yaqumo",non_us,"",,quantum,,,"The Quantum Insider: Yaqumo Selected for a NEDO R&D Project; Launches Joint Research with SCREEN Holdings"
"Frasers Property",non_us,"Singapore",,real_estate,,,"The Straits Times: Frasers Property acquires Cuppage Terrace in Orchard Road area for $175 million"
"Hoi Hup Realty",non_us,"Singapore",,real_estate,,,"The Business Times — Singapore: Hoi Hup Realty acquires Four Points by Sheraton Sydney for US$144.6 million"
"Mapletree",non_us,"Singapore",,real_estate,,500,"The Business Times — Singapore: Mapletree closes first round of emerging Asia logistics development fund at over US$500 million"
"Epson",non_us,"Suwa",Japan,robotics,,,"Tech in Asia: Epson launches AX6 cobot in Southeast Asia"
"HowToRobot",non_us,"",,robotics,,,"The Robot Report: HowToRobot and Robotics Australia Group partner on platform to encourage robot adoption"
"Motion",non_us,"",,robotics,seed,2,"Tech.eu: Motion lands $2M to expand humanoid robot deployments across Europe"
"Pollen Robotics",non_us,"Bordeaux",France,robotics,,,"pollen-robotics.com: Pollen Robotics makes a $399 open-source desktop robot"
"Visko",non_us,"",,robotics,seed,,"The Robot Report: Visko launches Orbis live model and closes pre-seed funding round"
"CXMT",non_us,"Hefei",China,semiconductors,,,"South China Morning Post — Business: China’s CXMT posts massive 870% revenue surge as ‘aggressive expansion’ pays off"
"Enflame",non_us,"Shanghai",China,semiconductors,,,"Tech in Asia: Tencent-backed AI chipmaker Enflame targets $908m Shanghai IPO"
"HANMI Semiconductor",non_us,"",,semiconductors,,,"Semiconductor Digest: HANMI Semiconductor To Invest in Its Largest-Ever 8th Production Facility"
"Kioxia",non_us,"Tokyo",Japan,semiconductors,,,"Nikkei Asia: Kioxia to invest $6.3bn in new memory production facility in Japan"
"Longsys",non_us,"Shenzhen",China,semiconductors,,,"Tech in Asia: Chinese memory chipmaker Longsys seeks $801m in HK IPO"
"NXP Semiconductors",non_us,"Eindhoven",Netherlands,semiconductors,,,"Fierce Electronics: NXP Tech Days: sensors, virtual sensors, actuators and partners"
"Powertech",non_us,"Hsinchu",Taiwan,semiconductors,,,"Nikkei Asia: Powertech eyes world's first panel-level packaging for AI chips in 2027"
"SK hynix",non_us,"Icheon",South Korea,semiconductors,,,"Tech in Asia: SK hynix eyes Japan memory plant as AI demand rises"
"UMC",non_us,"Hsinchu",Taiwan,semiconductors,,,"The Straits Times: Taiwan semiconductor firm UMC pours billions into Singapore to claim a stake in the AI boom"
"Brasil DNA",non_us,"",,software_platforms,,,"Business Insider — Markets: Brasil DNA opens Early Access to Virtual Roadshow 2026 platform ahead of October event"
"Instarc",non_us,"",,software_platforms,,,"Tech.eu: Instarc raises €1.25M to scale its cloud-native compliance platform"
"Jio Platforms",non_us,"Mumbai",India,software_platforms,,,"Tech in Asia: Jio Platforms wins SEBI nod for $3.8b IPO"
"OVHcloud",non_us,"Roubaix",France,software_platforms,,,"CNA — Business: OVHcloud gets French security certification for public cloud, plans European roll-out"
"Sony",non_us,"Tokyo",Japan,software_platforms,,,"Techmeme: Sony launches Live TV on PS5 in the US, letting users stream 100+ free, ad-supported TV channels with content from Amazon MGM Studios, Crunchyroll, and more (Kris Holt/Engadget)"
"The Quantum Insider",non_us,"Toronto",Canada,software_platforms,,,"The Quantum Insider: The Quantum Insider Launches TQI 2.0, A Comprehensive Intelligence Workspace For The Quantum Economy"
"TraceIQ",non_us,"",,software_platforms,,,"Genetic Engineering News: TraceIQ Launched to Maximize Pharmaceutical Traceability"
"Yotta Data Services",non_us,"Mumbai",India,software_platforms,,,"CNA — Business: India's Yotta targets Jan-March 2027 IPO, seeks up to $1.5 billion amid AI boom"
"upGrad",non_us,"Mumbai",India,software_platforms,,,"Tech in Asia: India’s upGrad acquires Unacademy in $206m deal"
"Beyond Reach Labs",non_us,"",,space,,,"Payload Space: Beyond Reach Labs Unveils Flarewing Deployable Solar Arrays"
"HyImpulse",non_us,"Neuenstadt am Kocher",Germany,space,series_a_ext,,"EU-Startups: German SpaceTech HyImpulse secures over €50 million to accelerate Europe’s sovereign launch capabilities"
"ICEYE",non_us,"Espoo",Finland,space,,,"Payload Space: ICEYE Opens Three International Offices in a Single Week"
"InspeCity",non_us,"Mumbai",India,space,,11,"Tech in Asia: Antler-backed Indian space startup InspeCity raises $10.5m"
"Kepler",non_us,"",,space,,8,"Tech in Asia: Indian space startup Kepler raises $8m for ISR satellites"
"Letara",non_us,"",,space,,,"TechCrunch — Space: Japanese space tech startup Letara expands beyond satellite thrusters with $16M"
"Space Angel",non_us,"Perth",Australia,space,,2,"7?ds=true&seed=1788218458: Space Angel secures $1.75m WA Government backing to advance Western Australian spaceport plans"
"Space Cargo Unlimited",non_us,"Paris",France,space,,,"Tech.eu: Space Cargo Unlimited invests in CNES subsidiary Novespace to expand microgravity offering"
"Starcloud",non_us,"",,space,,250,"TechCrunch — Space: Starcloud raises $250 million for orbital data centers as launch options dry up"
"Electra",non_us,"",,therapeutics,,,"Fierce Biotech: Electra aims to light up Nasdaq with IPO for phase 2/3 I&I push"
"Novartis",non_us,"Basel",Switzerland,therapeutics,,,"STAT News: STAT+: Novartis gets multiple sclerosis win with BTK inhibitor"
"Roche",non_us,"Basel",Switzerland,therapeutics,,,"Endpoints News: Roche taps Simcere for trispecific T cell engager pact with $75M upfront"
"Roivant",non_us,"Basel",Switzerland,therapeutics,,,"Endpoints News: Roivant's dermatomyositis drug Lisraya snags FDA approval"
"TME",non_us,"",,therapeutics,,,"Fierce Biotech: TME holds onto $1B dream for brain cancer drug as search for partners nears conclusion"
"House Foods Group",non_us,"Tokyo",Japan,,,,"Nikkei Asia: Japan's House Foods weighs sale of CoCo Ichibanya curry chain operator"
"Kerry Properties",non_us,"Hong Kong",Hong Kong,,,,"South China Morning Post — Business: Kerry Properties targets Hong Kong sites, eyes luxury market as mainland growth slumps"
"Faraday Future",other_us,"Los Angeles",CA,advanced_manufacturing,,,"Business Wire — High Tech: Faraday Future Announces Execution Roadmap for Its “Built in USA” Acceleration Program and Launches Distributor Recruitment; Targets to Bring Its Robot Factory Online by Year-End and First New EAI Device Product Off the Line in February 2027"
"Freeman Automation",other_us,"Louisville",KY,advanced_manufacturing,,,"Trade & Industry Development: KY: Freeman Automation to Establish New Operation in Graves County, Creating 20 Jobs"
"Gerard Daniel Worldwide",other_us,"New York",NY,advanced_manufacturing,,,"Area Development: Gerard Daniel Worldwide Expands Hanover, Pennsylvania, Manufacturing Operations"
"Teradyne",other_us,"North Reading",MA,advanced_manufacturing,,,"Semiconductor Digest: Teradyne Launches Advanced UltraFLEXplus Instruments Engineered for AI and Data Center Computing Devices"
"Ocean Aero",other_us,"Gulfport",MS,aerospace,,,"Area Development: Ocean Aero Expands Gulfport, Mississippi, Operations"
"Rolls-Royce",other_us,"London",UK,aerospace,,,"Manufacturing Dive: Rolls-Royce expands Indiana manufacturing with $1B investment"
"Nscale",other_us,"London",UK,ai_infrastructure,,3000,"TechFundingNews: Nscale closes $3B debt package to power AI infrastructure buildout across the US"
"CBTS",other_us,"Cincinnati",OH,ai_software,,,"SiliconANGLE: CBTS launches Forge Agents to build custom AI agents in days"
"Clay",other_us,"New York",NY,ai_software,,7000,"Techmeme: Sources: AI sales and marketing startup Clay is raising a round led by Wellington at a $7B pre-money valuation, up from $5B via an employee tender in January (Lucinda Shen/Axios)"
"Dataminr",other_us,"New York",NY,ai_software,,,"DefenseScoop: Pentagon awards $318M contract for Dataminr alerting services technology"
"Faro",other_us,"San Diego",CA,ai_software,series_b,37,"Endpoints News: Exclusive: Faro raises $37M Series B to speed up clinical trials with AI"
"OneRail",other_us,"Orlando",FL,ai_software,,,"CNBC — Technology: OneRail launches AI platform with Nvidia for retailers to make faster delivery decisions"
"Flagship Pioneering",other_us,"Cambridge",MA,biotech_platforms,,,"Fierce Biotech: Flagship’s ProFound partners with Gates Foundation in $35M preeclampsia target discovery pact"
"Casey's General Stores",other_us,"Ankeny",IA,commerce_marketplaces,,,"Business Wire — High Tech: A New Team in Texas Football: Casey’s Partners with Dave Campbell’s Texas Football"
"YachtWorld",other_us,"Miami",FL,commerce_marketplaces,,,"PR Newswire — news releases: YachtWorld Outperforms a Flat Market as New Site Drives 25% Increase in Buyer Engagement and Lead Conversion"
"CrowdStrike",other_us,"Austin",TX,cybersecurity,,,"SiliconANGLE: CrowdStrike builds security frontier models with Nvidia and opens an AI lab"
"SEON",other_us,"London",UK,cybersecurity,,,"Tech in Asia: Global fraud tech firm Seon taps Philippine partner for SEA push"
"Socure",other_us,"Incline Village",NV,cybersecurity,growth,,"socure.com: Socure raises growth investment at $5.2B valuation and acquires Fravity"
"K Health",other_us,"New York",NY,digital_health,,,"Endpoints News: K Health is eyeing an IPO by 2029"
"Martin & Company",other_us,"Newtown Square",PA,financial_services,,,"Business Insider — Markets: Martin & Company Launches the Next Chapter for a Firm Built on Three Decades of Insurance Product Expertise"
"Itoflow",other_us,"London",UK,fintech,seed,3,"Tech.eu: Itoflow lands $2.5M to scale investment research and portfolio management"
"Yrefy",other_us,"New York",NY,fintech,,,"Business Wire — High Tech: Yrefy Seeks Private Student Loan Originations Partner to Serve Growing Borrower Demand"
"Bloom Healthcare",other_us,"Lakewood",CO,healthcare_services,,,"Business Insider — Markets: Bloom Healthcare Expands Dallas-Fort Worth Presence with Acquisition of Christian Care House Calls"
"ARCH Venture Partners",other_us,"Chicago",IL,investment_funds,,,"Endpoints News: ARCH Venture Partners targets $3 billion raise for latest fund"
"UPS",other_us,"Atlanta",GA,logistics_supply_chain,,,"Supply Chain Dive: UPS launches new global operating model, revamps exec roles"
"Certain Energy",other_us,"London",UK,materials_energy,series_a,,"Tech.eu: Certain Energy raises £10M Series A for long-duration battery storage"
"Cleveland Diagnostics",other_us,"Cleveland",OH,medtech_devices,,,"MedTech Dive: Cleveland Diagnostics hires new CFO"
"Dimora Medical",other_us,"New York",NY,medtech_devices,,,"PR Newswire — news releases: Dimora Medical Introduces New Pricing for MegaSorb™ Dressings, Expanding Access to Professional-Grade Wound Care"
"Implantica",other_us,"San Diego",CA,medtech_devices,,,"Fierce Biotech: Implantica finally nabs FDA approval 8 years after EU green light for reflux implant"
"Stryker",other_us,"Kalamazoo",MI,medtech_devices,,,"MedTech Dive: Stryker to add rotator cuff repair tech with ZuriMED buy"
"Helium",other_us,"Austin",TX,networking_connectivity,,,"threadreaderapp.com: HNT Doubles After Celina, Texas Joins Helium Network"
"EXL",other_us,"New York",NY,other,,,"The Robot Report: EXL acquires physical AI model developer iMerit"
"EXL Service",other_us,"New York",NY,other,,,"The Robot Report: EXL acquires physical AI model developer iMerit"
"FlightSafety International",other_us,"Seattle",WA,other,,,"Business Wire — High Tech: FlightSafety International達成收購Acron Technologies旗下商業訓練解決方案業務的協議"
"La-Z-Boy",other_us,"Monroe",MI,other,,,"Area Development: La-Z-Boy Incorporated Expands Neosho, Missouri, Distribution Operations"
"Mimi's Cafe",other_us,"Dallas",TX,other,,,"PR Newswire — news releases: Mimi's Cafe Launches Fall Menu With Pumpkin Spice, Freshly Baked Biscuits, and More Seasonal Specials"
"NewPower Worldwide",other_us,"Houston",TX,other,,,"EE Times: NewPower Worldwide Expands Credit Facility to $750 Million to Support Global Growth and Customer Demand"
"Ring",other_us,"Santa Monica",CA,other,,,"TechCrunch — Hardware: Ring introduces a new encryption standard, makes it the default for cloud features"
"Quintessent",other_us,"Santa Barbara",CA,photonics,series_a,40,"Semiconductor Digest: Quintessent Raises $40 Million Series A and Begins Sampling First Product for AI Optical Interconnects"
