name,total_raised_musd,valuation_musd,round_stage,round_date,headcount,founded_year,hq_city,website,investors,notes,source,as_of
CATL,,,,,,2011,Ningde,catl.com,,"cbi_org_id=306289; matched on name, corroborated by the e-commerce/battery description and Chinese HQ in the headline; listed (300750.SZ, IPO 2018-06) so market cap is the right valuation and CBI does not carry it; pre-IPO Series A-C left out per the public-company rule; no total headcount held",CB Insights,2026-09-08
Caterpillar,,,,,,1925,Irving,caterpillar.com,,"cbi_org_id=456613; matched on name plus the construction/mining equipment description; listed (CAT, IPO 1925) so market cap and headcount are not carried by CBI and no funding rounds apply; note CBI puts HQ in Irving TX, the current corporate seat, not the historic Peoria IL one",CB Insights,2026-09-08
Chai Discovery,630.3,3800,series_c,2026-06,36,2024,San Francisco,chaidiscovery.com,"Index Ventures|Sequoia Capital|Thrive Capital|OpenAI|General Catalyst|Kleiner Perkins|Menlo Ventures|Baillie Gifford","cbi_org_id=1233914; matched on website chaidiscovery.com; only founded_year was needed - the rest is the extra CBI holds",CB Insights,2026-09-08
Chobani,1400,20000,,,2367,2005,New Berlin,chobani.com,"TPG|HOOPP|Keurig Dr Pepper","cbi_org_id=51413; matched on name plus the Greek yogurt description; private (a 2022 IPO was cancelled); valuation $20B from the 2025-10 unattributed round - a 2026-09 shareholder-liquidity event marks it down to $16B but that is a secondary, not a priced primary; round_stage blank because CBI holds no lettered rounds, only debt, secondaries and liquidity events",CB Insights,2026-09-08
Cloover,29.4,,series_a,2026-01,82,2022,Berlin,cloover.com,"MMC Ventures|QED Investors|Lowercarbon Capital|Bosch Ventures|BNVT Capital|Index Ventures|Earthshot Ventures","cbi_org_id=1103643; matched on the headline's €86.2M facility, which is the $100M line of credit from the European Investment Fund dated 2026-09 (at ~1.16 USD/EUR), plus the Berlin HQ the headline names; name lookup failed and the company sat outside its own alternates, resolved by id; total_raised is EQUITY only ($22M Series A + $7.41M pre-seed) - CBI's $1.44B headline figure is almost entirely debt ($1.2B, $114M, $100M) and would badly overstate the equity raised",CB Insights,2026-09-08
Cognition AI,1600,46000,series_d,2026-05,532,2023,San Francisco,cognition.com,"8VC|General Catalyst|Lux Capital|Founders Fund|Bain Capital Ventures|Ribbit Capital|Khosla Ventures","cbi_org_id=1153814; matched on website cognition.ai resolving to this entity (CBI stores the domain as cognition.com); CBI's name for it is ""Cognition""; valuation is the $46B upper bound of the 2026-08 rumored $1B round - the last priced round is the 2026-05 Series D at $25-26B, and the stage/date given are that Series D",CB Insights,2026-09-08
DIMERIX,,,,,,2004,Fitzroy,dimerix.com,,"cbi_org_id=660630; matched on name plus the clinical-stage/Phase 3 description and Australian HQ, consistent with the A$34M facility headline; listed (ASX:DXB, IPO 1993) so funding fields stay blank per the public-company rule; the A$34M in the headline is an explicitly NON-DILUTIVE facility, not an equity round, and is not recorded as one; no total headcount held",CB Insights,2026-09-08
Daiichi Life,,,,,,1902,Tokyo,dai-ichi-life.co.jp,,"cbi_org_id=489000; matched on the Dai-ichi Life alternate (life insurer, Tokyo, founded 1902); listed, so funding and market cap left blank",CB Insights,2026-09-08
Databricks,,190000,,2026-08,,2013,San Francisco,databricks.com,"Coatue, Andreessen Horowitz, Thrive Capital","cbi_org_id=119632; matched on website databricks.com; Series L-II $5B at $185-190B, Aug 2026; round_stage blank as series_l is not in ROUND_STAGES",CB Insights,2026-09-08
Dexterity,,1650,series_c,2026-06,,2017,Redwood City,dexterity.ai,"Lightspeed, Matter Venture Partners, Millennia Capital","cbi_org_id=482099; matched on website dexterity.ai; valuation $1.65B is from the Mar 2025 Series C, latest priced round",CB Insights,2026-09-08
Diffraqtion,5,100,seed,2026-08,,2024,Somerville,diffraqtion.com,"ADIN, Aether VC, Collaborative Fund, Lockheed Martin Ventures, Plug and Play",cbi_org_id=10354716; matched on the quantum-camera description plus 2024 founding; NOTE headline says >$10M but CBI total funding is $5.45M across pre-seed rounds; valuation $100M from the Mar 2026 pre-seed III,CB Insights,2026-09-08
DuckLabs,,,,,,2021,Amsterdam,ducklabs.com,Amazon Web Services,"cbi_org_id=12995466; matched on website ducklabs.com and the AWS acquisition in the headline (acquired Aug 2026); no funding rounds, acquisition only",CB Insights,2026-09-08
Duke Energy,,,,,,1904,Charlotte,duke-energy.com,,"cbi_org_id=489020; matched on name (website dukeenergy.com failed, CBI holds duke-energy.com); listed, so funding and market cap left blank",CB Insights,2026-09-08
Easy Aerial,26,,series_b,2026-08,,2015,Brooklyn,easyaerial.com,"Entree Capital, Insight Partners",cbi_org_id=517956; matched on the $20M Series B in the headline (2026-08-31),CB Insights,2026-09-08
Electra Therapeutics,267,,series_c,2025-10,,2018,South San Francisco,electra-therapeutics.com,"EQT Life Sciences, Nextech, OrbiMed, RA Capital Management, Redmile Group","cbi_org_id=832995; matched on website electra-therapeutics.com; IPO is Pending as of 2026-08-28 so still private, last priced round is the $183M Series C",CB Insights,2026-09-08
ElevenLabs,843,11000,series_d,2026-02,,2022,New York,elevenlabs.io,"Andreessen Horowitz, ICONIQ Capital, Sequoia Capital",cbi_org_id=975661; matched on website elevenlabs.io; valuation $11B from the Feb 2026 Series D,CB Insights,2026-09-08
Epicrispr Biotechnologies,213,,series_c,2026-08,,2018,South San Francisco,epicrispr.com,"Janus Henderson Investors, Octagon Capital, Fidelity Investments, Sanofi Ventures",cbi_org_id=911747; matched on website epicrispr.com; no valuation disclosed on any round,CB Insights,2026-09-08
Equinix,,,,,,1998,Redwood City,equinix.com,,"cbi_org_id=57700; matched on the Equinix alternate carrying equinix.com and IPO status (name alone returned the equinix.sg regional entity); listed, so funding and market cap left blank",CB Insights,2026-09-08
Etched,1630,21000,series_d,2026-08,,2022,San Jose,etched.com,"Jane Street Group, Andreessen Horowitz, Sequoia Capital, Kleiner Perkins",cbi_org_id=1048356; matched on website etched.com; valuation $21B from the Aug 2026 Series D,CB Insights,2026-09-08
Evonik,,,,,,2007,Essen,evonik.com,,"cbi_org_id=222133; matched on name plus Essen HQ and specialty-chemicals description; listed (EVK.DE), so funding and market cap left blank",CB Insights,2026-09-08
Faraday Future,,,,,,2014,El Segundo,ff.com,,"cbi_org_id=185274; matched on the El Segundo EV maker profile (CBI holds ff.com, not faradayfuture.com); listed (FFAI), so funding and market cap left blank",CB Insights,2026-09-08
GE Aerospace,,,,,,1892,Cincinnati,geaerospace.com,,"cbi_org_id=217684; matched on the GE Aerospace alternate (name alone did not resolve); listed, so funding and market cap left blank; same entity as our separate GE row, the two look like duplicates",CB Insights,2026-09-08
GRSE,,,,,,,Kolkata,grse.in,,"cbi_org_id=411024; matched on website grse.in (Garden Reach Shipbuilders & Engineers, Kolkata); listed (542011.BO), so funding and market cap left blank; CBI carries no founded year",CB Insights,2026-09-08
Gatik,363,,series_d,2026-08,,2017,Mountain View,gatik.ai,"Koch Disruptive Technologies, QIA, ARK Invest, Millennium Management",cbi_org_id=68176; matched on the $200M Series D in the headline (2026-08-25),CB Insights,2026-09-08
Genentech,,,,,18295,1976,South San Francisco,gene.com,,"cbi_org_id=90898; matched on the gene.com profile, South San Francisco HQ and the oncology/ADC focus in the headline; a Roche subsidiary since the 2009 acquisition, so no funding of its own and Roche's market cap is not attributed here",CB Insights,2026-09-08
General Intuition,453,6000,series_a,2026-06,35,2025,New York,generalintuition.com,"Valor Equity Partners, Point72 Ventures, General Catalyst, Khosla Ventures, Seven Seven Six",cbi_org_id=10512257; matched on website generalintuition.com; the $6B valuation and the Valor/Point72 investors both match the headline,CB Insights,2026-09-08
Guardio,167,1100,series_b_ext,2026-09,158,2018,Tel Aviv,guard.io,"ION Crossover Partners, Cerca Partners, Emerge Ventures, Union Tech Ventures, Vintage Investment Partners","cbi_org_id=813154; matched on the $40M Series B-II at a $1.1B valuation in the headline; the bare name first returned a Brazilian fleet-management firm (cbi_org_id=2599346), which was rejected",CB Insights,2026-09-08
HANMI Semiconductor,,,,,,1980,Incheon,hanmisemi.com,,cbi_org_id=1227569; matched on the semiconductor packaging-equipment business and the Korean HQ; listed (042700.KQ) so market cap and headcount are not carried by CBI and no VC round applies,CB Insights,2026-09-08
Hang Seng Bank,,,,,,1933,Central,hangseng.com,,"cbi_org_id=441445; matched on the Hong Kong retail-banking and wealth business in the headline; listed (0011.HK), so no market cap, headcount or round fields",CB Insights,2026-09-08
Humain,,,,,1049,2025,Riyadh,humain.ai,,"cbi_org_id=2140011; matched on the Saudi Arabia HQ naming ""Saudi AI firm"" in the headline plus the AI-infrastructure description; state-backed by PIF, and CBI carries no disclosed round amount",CB Insights,2026-09-08
ICEYE,1590,11541,series_f,2026-06,1064,2015,Espoo,iceye.com,"EQT, General Atlantic, TCV, QIA, Solidium, Tesi, Nokia, Lifeline Ventures",cbi_org_id=15476; matched on the Finland HQ and the SAR-satellite business in the headline,CB Insights,2026-09-08
Infineon,,,,,,1999,Neubiberg,infineon.com,,"cbi_org_id=267058; matched on the German power-semiconductor business, resolved from the ""Infineon Technologies"" alternate; listed (IFX.DE), so no market cap, headcount or round fields",CB Insights,2026-09-08
InspeCity,19,,series_a,2026-08,51,2022,Thane,inspecity.com,"Speciale Invest, Ashish Kacholia, Antler India, Antler Elevate, Shastra VC, Anicut Capital","cbi_org_id=1039671; matched on the $12M Series A against the headline's $10.5M (12.5% apart), corroborated by the India HQ and the Antler backing the headline names",CB Insights,2026-09-08
Instinct,325,2500,series_b,2026-08,,2025,San Francisco,instinct.co,"Benchmark, Index Ventures, Kleiner Perkins, Conviction Partners, Greenoaks","cbi_org_id=13043273; matched on the $2.5B valuation in the headline, which the Series B carries exactly; the headline's $350M is cumulative against CBI's $325M across seed, Series A and B. Four other companies named Instinct were rejected",CB Insights,2026-09-08
Itochu,,,,,,1858,Tokyo,itochu.co.jp,,"cbi_org_id=489097; matched on the Japanese general-trading business in the headline; listed (8001.T), so no market cap, headcount or round fields",CB Insights,2026-09-08
Jollibee Foods Corp.,,,,,,1978,Pasig City,jollibee.com.ph,,"cbi_org_id=389723; matched on the PSE:JFC ticker in the CBI description; listed (JFC.PS), so no market cap, headcount or round fields",CB Insights,2026-09-08
KKR,,,,,,1976,New York,kkr.com,,"cbi_org_id=303320; resolves as an investor profile (investorType Private Equity), matched on the kkr.com domain and the New York HQ; an investor, so it has no funding rounds of its own, and as an NYSE-listed firm no market cap or headcount from CBI",CB Insights,2026-09-08
Ki 13,6,,seed,2026-09,12,2022,London,ki-13.com,"HICO Investment Group, Desai Ventures, SFC Capital, Burgest, Triple Impact Ventures, GiTV",cbi_org_id=1024981; matched on the $5M seed in the headline; the synthetic-fuel business also matches,CB Insights,2026-09-08
Lam Research,,,,,,1980,Fremont,lamresearch.com,,"cbi_org_id=159247; matched on the semiconductor-equipment business and the California HQ near the Oregon lab in the headline; listed (LRCX), so no market cap, headcount or round fields",CB Insights,2026-09-08
Lambda,5570,2500,series_e,2025-11,772,2012,San Jose,lambda.ai,"TWG Global, US Innovative Technology Fund, Andra Capital, SGW, Mubadala Capital",cbi_org_id=751882; matched on website lambda.ai,CB Insights,2026-09-08
LeoLabs,115,,series_c,2024-02,154,2016,Menlo Park,leolabs.space,"Insight Partners, Velvet Sea Ventures, Space Capital, GP BullHound, Airbus Ventures, Horizons Ventures","cbi_org_id=60528; matched on the space-domain-awareness business and the Space Force customer in the headline; the $20.68M Space Force award is a contract, not a funding round, and is not recorded as one",CB Insights,2026-09-08
Lightmatter,822,4400,series_d,2024-10,,2017,Mountain View,lightmatter.co,"T. Rowe Price, Fidelity Investments, GV, Viking Global Investors",cbi_org_id=144850; matched on website lightmatter.co; valuation $4.4B from the Oct 2024 Series D,CB Insights,2026-09-08
Lyte,272,1600,series_c,2026-09,,2021,Sunnyvale,lyte.ai,"Maverick Silicon, Atreides Management, Fidelity Investments, Key1 Capital, Ora Global","cbi_org_id=11519119; matched on the $165M Series C at $1.6B in the headline (2026-09-02); five entities share the name Lyte, the connector's default was a Singapore commission-advance fintech",CB Insights,2026-09-08
Marvell,,,,,,1995,Santa Clara,marvell.com,,"cbi_org_id=57153; matched on the Marvell alternate carrying marvell.com and IPO status (""Marvell Technology"" did not resolve); listed, so funding and market cap left blank",CB Insights,2026-09-08
MatX,605,7000,series_b,2026-02,,2023,Mountain View,matx.com,"Jane Street Group, Situational Awareness, Spark Capital, Triatomic Capital","cbi_org_id=1096542; matched on website matx.com; valuation $7B from the Feb 2026 Series B, a later rumored round marks it down to $4B",CB Insights,2026-09-08
Meissner,3,,seed,2026-09,,2025,Toronto,meissnermaterials.com,"Thrive Venture Fund for Women, Anthony Lacavera, Christian Weedbrook, Daniel Debow, Michael Hyatt","cbi_org_id=12147351; matched on the $2.6M in the headline (pre-seed 2026-09-01) plus the superconducting-materials description; the connector's default Meissner was a 1984 Camarillo filtration firm",CB Insights,2026-09-08
MiniMax,,4184,series_c,2025-07,,2022,Xuhui,minimaxi.com,"Shanghai STVC Group, Alibaba.com, IDG Capital, Boyu Capital, ADIA","cbi_org_id=1106132; matched on the Chinese multi-modal AI lab description plus Shanghai HQ in the headline; IPO'd Jan 2026 so total_raised left blank, valuation $4.18B is the last private round (Jul 2025 Series C)",CB Insights,2026-09-08
Moon Surgical,92,,series_b,2023-05,,2019,Paris,moonsurgical.com,"NVentures, Sofinnova Partners, Cathay Capital, GT Healthcare Capital Partners, Johnson & Johnson Innovation",cbi_org_id=561924; matched on website moonsurgical.com; no valuation disclosed on any round,CB Insights,2026-09-08
Neros Technologies,371,2500,series_c,2026-08,,2023,El Segundo,neros.tech,"American Strategic Technology Fund, Sequoia Capital, Allen & Company, Valor Equity Partners, Thiel Capital",cbi_org_id=1163966; matched on website neros.tech; valuation is the $2.25-2.5B range on the Aug 2026 Series C,CB Insights,2026-09-08
Nexthop AI,610,4200,series_b,2026-03,,2024,Santa Clara,nexthop.ai,"Andreessen Horowitz, Lightspeed, Altimeter Capital, Kleiner Perkins, Battery Ventures",cbi_org_id=10243742; matched on website nexthop.ai; valuation $4.2B from the Mar 2026 Series B,CB Insights,2026-09-08
Noah Medical,150,1120,,2024-02,,2018,San Carlos,noahmed.com,"Prosperity7 Ventures, SoftBank, Aramco Ventures, Hillhouse Investment, HongShan","cbi_org_id=912458; matched on website noahmed.com; valuation $1-1.12B from the Feb 2024 unattributed VC round, round_stage blank as unattributed VC has no ROUND_STAGES equivalent",CB Insights,2026-09-08
Owner,419,2300,series_d,2026-08,,2018,Palo Alto,owner.com,"Goldman Sachs Alternatives, Headline, Meritech Capital Partners, Redpoint Ventures","cbi_org_id=785009; matched on website owner.com plus the restaurant-software description; valuation $2.3B from the Aug 2026 Series D",CB Insights,2026-09-08
PDD Holdings,,,,,,2015,Shanghai,pinduoduo.com,,"cbi_org_id=100181; matched on the Pinduoduo alternate, PDD Holdings' operating entity (""PDD Holdings"" did not resolve and the ""PDD Group"" alternate is an unrelated London design consultancy); listed, so funding and market cap left blank",CB Insights,2026-09-08
Pasqal,539,2000,,2026-08,,2019,Palaiseau,pasqal.com,"Bleichroeder Acquisition II, CMA CGM, LG Electronics, Bpifrance Large Venture, Quanta Computer","cbi_org_id=492237; matched on website pasqal.com; valuation $2B from the Aug 2026 reverse merger that took it public, round_stage blank as reverse merger has no ROUND_STAGES equivalent",CB Insights,2026-09-08
Physical Intelligence,1070,11000,,2026-03,,2024,San Francisco,pi.website,"Founders Fund, Lightspeed, Lux Capital, Thrive Capital, CapitalG","cbi_org_id=1153997; matched on the robotics-foundation-model description plus 2024 SF founding (CBI holds pi.website, not physicalintelligence.company); valuation $11B is from a rumored Mar 2026 round so round_stage left blank, last confirmed priced round is the Nov 2025 Series B at $5-5.6B",CB Insights,2026-09-08
Ping An Digital,,,,,,,Shenzhen,pingan.com,,"UNRESOLVED as a separate entity: a digital banking unit of Ping An Insurance Group (cbi_org_id=228707, Shenzhen, founded 1988). CB Insights carries no Ping An Digital profile; the nearest entities are the parent and the separately listed Ping An Bank (cbi_org_id=342380), neither of which is this unit. Parent figures deliberately not attributed",CB Insights,2026-09-08
Prysmian,,,,,,1879,Milan,prysmian.com,,"cbi_org_id=351834; matched on the Milan cable maker profile plus the South Carolina manufacturing footprint in the headline; listed (PRY.MI), so funding and market cap left blank",CB Insights,2026-09-08
PsiQuantum,2370,7000,series_e,2025-09,,2015,Palo Alto,psiquantum.com,"Baillie Gifford|BlackRock|Temasek|Macquarie Capital|T. Rowe Price","cbi_org_id=492089; matched on website psiquantum.com; valuation upper bound of the $6-7B range at the 2025-09 Series E; the 2026-01 Series E - II is unpriced and the 2026-05 $100M is a pending federal award, not equity",CB Insights,2026-09-08
Quantum Systems,1940,8000,series_d,2026-07,635,2015,Gilching,quantum-systems.com,"Advent International|Airbus|Blackstone|Noteus Partners|Balderton Capital|Fidelity Investments","cbi_org_id=738233; matched on the $1.2B Series D of 2026-07 in the headline; valuation upper bound of the $6.8-8B range; HQ Germany, the name suggests nothing about geography",CB Insights,2026-09-08
Quintessent,59,,series_a,2026-08,23,2019,Goleta,quintessent.com,"Cycle Capital|Ciena|Osage University Partners|Sierra Ventures|M Ventures","cbi_org_id=478815; matched on the $40M Series A in the headline; the name lookup returned Quintessence, a Russian marketing firm (id 154102) - rejected, the right entity was in its alternates",CB Insights,2026-09-08
QumulusAI,,,,,41,2019,Atlanta,qumulusai.com,,"cbi_org_id=10389180; matched on name plus the AI-datacenter description in the headline; listed since the 2026-07 IPO, so market cap and VC round fields left blank; formerly Global Digital Holdings",CB Insights,2026-09-08
Raytheon,,,,,,1922,Waltham,raytheon.com,,"cbi_org_id=82385; matched on name plus the defense-radar subject of the headline; the headline's $603M is a B-52 radar CONTRACT, not a funding round, so no round recorded; merged into RTX in April 2020 and carries no separate market cap or headcount",CB Insights,2026-09-08
Reframe Systems,72,,series_a_ext,2026-08,,2021,Andover,reframe.systems,"Energy Impact Partners|Eclipse|VoLo Earth Ventures|RA Capital Management|MassMutual Ventures|UP Partners","cbi_org_id=1104504; matched on the $40M round in the headline (Series A - II, 2026-08); website on file was reframesystems.com but CBI carries reframe.systems - same company, the robotic-microfactory description matches the headline",CB Insights,2026-09-08
Revolution Medicines,226,,,,,2014,Redwood City,revmed.com,,"cbi_org_id=255053; matched on name plus the RAS-cancer therapeutics description behind the headline's FDA approval; listed, so market cap, headcount and VC round fields left blank; total_raised is pre-IPO venture only",CB Insights,2026-09-08
SB Energy,2400,50000,,,359,2019,Redwood City,sbenergy.com,"Ares Management|SoftBank Group|OpenAI|NVIDIA","cbi_org_id=505081; matched on name plus the SoftBank and OpenAI parties named in the headline; a SoftBank Group company, IPO pending as of 2026-08 at a $50B valuation; its rounds are Unattributed and Corporate Minority, which have no ROUND_STAGES equivalent, so stage and date are blank",CB Insights,2026-09-08
SK Telecom,,,,,,1984,Seoul,sktelecom.com,,"cbi_org_id=489319; matched on name plus the Korean telecom-AI subject of the headline; listed, so market cap, headcount and VC round fields left blank",CB Insights,2026-09-08
SK hynix,,,,,,1983,Gyeonggi-do,skhynix.com,,"cbi_org_id=480790; matched on name plus the Korean memory-semiconductor subject of the headline; listed, so market cap, headcount and VC round fields left blank",CB Insights,2026-09-08
SandboxAQ,1450,5750,series_e,2025-04,,2021,Palo Alto,sandboxaq.com,"Google|NVIDIA|BNP Paribas|Ray Dalio|Horizon Kinetics","cbi_org_id=853732; matched on website sandboxaq.com; stage from the priced Series E - II of 2025-04; the 2026-06 $500M is a federal award and the 2025-07 $95M is a secondary, neither a priced VC round",CB Insights,2026-09-08
SiFive,765,3650,series_g,2026-04,,2015,Santa Clara,sifive.com,"Atreides Management|Apollo|NVIDIA|Point72 Asset Management|Sutter Hill Ventures|T. Rowe Price","cbi_org_id=30030; matched on website sifive.com",CB Insights,2026-09-08
Sila Nanotechnologies,1710,3300,series_h,2026-07,,2011,Alameda,silanano.com,"Atreides Management|Sutter Hill Ventures|8VC|Bessemer Venture Partners|Matrix Partners|T. Rowe Price","cbi_org_id=261830; matched on website silanano.com (CBI carries it as 'Sila'); valuation is the last priced one, the 2021-01 Series F at $3.3B - the 2026-07 Series H is unpriced",CB Insights,2026-09-08
Skild AI,2210,14000,series_c,2026-01,,2023,Pittsburgh,skild.ai,"SoftBank Group|Bezos Expeditions|Coatue|Sequoia Capital|Lightspeed|Samsung|NVentures","cbi_org_id=1198103; matched on website skild.ai",CB Insights,2026-09-08
Socure,898,5200,series_e_ext,2026-08,594,2012,Incline Village,socure.com,"Summit Partners|Goldman Sachs Alternatives|Wells Fargo|DocuSign","cbi_org_id=34608; matched on the $5.2B valuation in the headline, which is the 2026-08 Series E - II; the name lookup did not resolve and Socure was not in its alternates, so this came from the website socure.com",CB Insights,2026-09-08
Space Angel,1,,,,10,2020,Perth,spaceangel.io,Government of Western Australia,"cbi_org_id=961640; matched on the 2026-08 $1.24M Western Australia government grant, which is the A$1.75m of the headline, and on the Perth HQ; that grant is non-dilutive, so no round_stage or round_date; total_raised rounds to 1 (of $1.27M)",CB Insights,2026-09-08
Starcloud,446,2300,series_a_ext,2026-08,26,2024,Redmond,starcloud.com,"Manhattan West Asset Management|Benchmark|EQT|NVIDIA|Cisco|NFX|776 Capital","cbi_org_id=1131247; matched on website starcloud.com and the $250M round in the headline (Series A - II, 2026-08); valuation upper bound of the $2.05-2.3B range; formerly Lumen Orbit",CB Insights,2026-09-08
Superluminal,218,,series_b,2026-09,,2022,Boston,superluminalrx.com,"BVF Partners, RA Capital Management, Perceptive Advisors, Eli Lilly and Company, NVIDIA","cbi_org_id=1085554; matched on the $60M Series B in the headline (Superluminal Medicines); bare name Superluminal returns a Dutch C++ profiling-tools firm, a Michigan design shop and a London analytics startup",CB Insights,2026-09-08
Sushiro,,,,,,1984,Suita,akindo-sushiro.co.jp,,"cbi_org_id=272077; matched on the alternates list (conveyor-belt sushi chain, Japan); only funding on file is two buyouts (Unison 2007, Permira 2012), not VC rounds",CB Insights,2026-09-08
Tencent Cloud,,,,,,2013,Shenzhen,tencentcloud.com,,"cbi_org_id=649070; matched on the alternates list; cloud unit of Tencent (cbi_org_id=209494), so no funding or market cap of its own",CB Insights,2026-09-08
Terra Charge,195,,series_d,2024-12,,2010,Tokyo,terra-charge.co.jp,"Pegasus Tech Ventures, Osaka Gas, Aisin Seiki, Toho Gas, Kawamura Electric Industrial","cbi_org_id=155452; matched on HQ Japan against ""Japan's Terra Charge"" in the headline; CBI carries terra-charge.co.jp, not the terracharge.com on file; total_raised excludes the 2024 loan and 2025 debt facility",CB Insights,2026-09-08
Thermo Fisher Scientific,,,,,,2006,Waltham,thermofisher.com,,"cbi_org_id=436431; matched on name plus HQ Waltham MA; NYSE-listed, so market cap, headcount and VC round fields left blank",CB Insights,2026-09-08
Thyme Care,399,2000,series_e,2026-09,,2020,Nashville,thymecare.com,"Morgan Health, a16z Bio Health, CVS Health Ventures, Foresite Capital, Town Hall Ventures, Humana","cbi_org_id=794513; matched on website thymecare.com and on the $125M Series E at a $2B valuation in the headline",CB Insights,2026-09-08
Together AI,1330,8300,series_c,2026-07,,2022,San Francisco,together.ai,"Aramco Ventures, NVIDIA, General Catalyst, Salesforce Ventures, Lux Capital, Vista Equity Partners","cbi_org_id=1000833; matched on website together.ai",CB Insights,2026-09-08
Trelleborg,,,,,,1905,Trelleborg,trelleborg.com,,"cbi_org_id=126927; matched on name plus HQ Trelleborg, Sweden; Nasdaq Stockholm-listed, so market cap, headcount and VC round fields left blank",CB Insights,2026-09-08
Typewriter,56,,series_a,2026-09,,2022,Cambridge,typewritertx.com,"AN Venture Partners, RA Capital Management, ANRI, SBI Holdings, Gemseki","cbi_org_id=1156559; matched on the $56M Series A in the headline (Typewriter Therapeutics)",CB Insights,2026-09-08
UMC,,,,,,1980,Hsinchu,umc.com,,"cbi_org_id=385066; matched on Taiwan semiconductor foundry in the headline, picked from the alternates over six other UMCs (Utah HVAC, Bangladesh instruments, two Saudi clinics); NYSE/TWSE-listed, so market cap, headcount and VC round fields left blank",CB Insights,2026-09-08
