company_name,round,announced_date,amount_usd,valuation_usd,source,as_of
Lambda,Debt,2021-07-14,9500000,,CB Insights,2026-08-27
Mercor,Funding - Pending,2026-07-09,500000000,20000000000,CB Insights,2026-08-27
Mercor,Series C,2025-10-27,350000000,10000000000,CB Insights,2026-08-27
Mercor,Series B,2025-01-27,100000000,2000000000,CB Insights,2026-08-27
Mercor,Series A,2024-09-18,32000000,250000000,CB Insights,2026-08-27
Mercor,Grant,2024-03-21,100000,,CB Insights,2026-08-27
Mercor,Seed VC,2024-01-14,3600000,,CB Insights,2026-08-27
Mercor,Other Investors,,,,CB Insights,2026-08-27
Neros Technologies,Series C,2026-08-11,250000000,2500000000,CB Insights,2026-08-27
Neros Technologies,Series B,2025-11-10,75000000,,CB Insights,2026-08-27
Neros Technologies,Grant,2025-05-22,200000,,CB Insights,2026-08-27
Neros Technologies,Series A,2025-03-18,35000000,,CB Insights,2026-08-27
Neros Technologies,Seed VC - III,2024-05-20,10900000,,CB Insights,2026-08-27
Neros Technologies,Seed VC - II,2023-01-01,,,CB Insights,2026-08-27
Neros Technologies,Seed VC,,,,CB Insights,2026-08-27
Neros Technologies,Other Investors,,,,CB Insights,2026-08-27
Neros Technologies,Pre-Seed,,,,CB Insights,2026-08-27
SambaNova Systems,Series F,2026-07-08,1000000000,11000000000,CB Insights,2026-08-27
SambaNova Systems,Series E,2026-02-07,350000000,,CB Insights,2026-08-27
SambaNova Systems,Acq - Rumored,2025-12-12,,1600000000,CB Insights,2026-08-27
SambaNova Systems,Series D - II,2025-09-29,,,CB Insights,2026-08-27
SambaNova Systems,Secondary Market,2023-06-30,,,CB Insights,2026-08-27
SambaNova Systems,Series D,2021-04-13,676000000,5100000000,CB Insights,2026-08-27
SambaNova Systems,Series C,2020-02-25,250000000,,CB Insights,2026-08-27
SambaNova Systems,Series B,2019-04-01,150000000,,CB Insights,2026-08-27
SambaNova Systems,Series A,2018-03-15,56000000,,CB Insights,2026-08-27
SambaNova Systems,Seed VC,2017-11-01,2000000,,CB Insights,2026-08-27
SambaNova Systems,Other Investors,,,,CB Insights,2026-08-27
Sila Nanotechnologies,Loan,2026-08-07,,,CB Insights,2026-08-27
Sila Nanotechnologies,Series H,2026-07-21,300000000,,CB Insights,2026-08-27
Sila Nanotechnologies,Series G,2024-06-27,375000000,,CB Insights,2026-08-27
Sila Nanotechnologies,Grant - VI,2022-10-19,100000000,,CB Insights,2026-08-27
Sila Nanotechnologies,Series F,2021-01-26,590000000,3300000000,CB Insights,2026-08-27
Sila Nanotechnologies,Series E - II,2019-11-04,45000000,,CB Insights,2026-08-27
Sila Nanotechnologies,Series E,2019-04-16,170000000,1000000000,CB Insights,2026-08-27
Sila Nanotechnologies,Grant - V,2018-12-06,3100000,,CB Insights,2026-08-27
Sila Nanotechnologies,Series D,2018-08-16,70000000,,CB Insights,2026-08-27
Sila Nanotechnologies,Series C,2016-06-18,,,CB Insights,2026-08-27
Sila Nanotechnologies,Grant - IV,2014-06-02,1590000,,CB Insights,2026-08-27
Sila Nanotechnologies,Series B,2014-04-29,,,CB Insights,2026-08-27
Luma AI,Series C,2025-11-19,900000000,4000000000,CB Insights,2026-08-27
Luma AI,Series B - II,2024-12-06,90000000,,CB Insights,2026-08-27
Luma AI,Series B,2024-01-09,43000000,300000000,CB Insights,2026-08-27
Luma AI,Series A,2023-03-20,20000000,,CB Insights,2026-08-27
Luma AI,Seed VC,2021-10-29,4300000,,CB Insights,2026-08-27
Luma AI,Other Investors,,,,CB Insights,2026-08-27
Dexterity,Series C - II,2026-06-02,104910004,,CB Insights,2026-08-27
Dexterity,Series C,2025-03-11,95000000,1650000000,CB Insights,2026-08-27
Dexterity,Series B,2021-10-13,,1400000000,CB Insights,2026-08-27
Dexterity,Debt,2021-10-13,140000000,,CB Insights,2026-08-27
Dexterity,Series A,2020-07-22,56200001,,CB Insights,2026-08-27
Dexterity,Incubator/Accelerator,2019-08-22,,,CB Insights,2026-08-27
Dexterity,Seed VC,2018-01-05,,,CB Insights,2026-08-27
Dexterity,Other Investors,,,,CB Insights,2026-08-27
Ambi Robotics,Biz Plan Competition,2026-05-12,,,CB Insights,2026-08-27
Ambi Robotics,Series B,2022-10-17,32000000,,CB Insights,2026-08-27
Ambi Robotics,Grant - II,2022-02-01,970000,,CB Insights,2026-08-27
Ambi Robotics,Series A,2021-09-14,26000000,,CB Insights,2026-08-27
Ambi Robotics,Seed VC,2021-01-06,6160000,,CB Insights,2026-08-27
Ambi Robotics,Grant,2020-06-01,220000,,CB Insights,2026-08-27
Ambi Robotics,Option/Warrant - II,2020-05-04,870000,,CB Insights,2026-08-27
Ambi Robotics,Option/Warrant,2019-11-15,1570000,,CB Insights,2026-08-27
Ambi Robotics,Incubator/Accelerator,2019-01-01,,,CB Insights,2026-08-27
Ambi Robotics,Other Investors,,,,CB Insights,2026-08-27
Ambi Robotics,Incubator/Accelerator - II,,,,CB Insights,2026-08-27
Chai Discovery,Series C,2026-06-04,400000000,3800000000,CB Insights,2026-08-27
Chai Discovery,Series B,2025-12-15,130000000,1300000000,CB Insights,2026-08-27
Chai Discovery,Incubator/Accelerator,2025-10-15,,,CB Insights,2026-08-27
Chai Discovery,Series A,2025-08-07,70000000,,CB Insights,2026-08-27
Chai Discovery,Seed,2025-01-21,300000,,CB Insights,2026-08-27
Chai Discovery,Seed VC,2024-09-09,30000000,150000000,CB Insights,2026-08-27
Chai Discovery,Other Investors,,,,CB Insights,2026-08-27
Epicrispr Biotechnologies,Series C,2026-08-11,90000000,,CB Insights,2026-08-27
Epicrispr Biotechnologies,Series B,2025-03-26,68000000,,CB Insights,2026-08-27
Epicrispr Biotechnologies,Series A - II,2023-04-18,,,CB Insights,2026-08-27
Epicrispr Biotechnologies,Series A,2022-07-12,55000000,,CB Insights,2026-08-27
Epicrispr Biotechnologies,Spinoff / Spinout,2018-01-01,,,CB Insights,2026-08-27
Epicrispr Biotechnologies,Other Investors,,,,CB Insights,2026-08-27
Freenome,PIPE,2026-07-20,240000000,,CB Insights,2026-08-27
Freenome,Corporate Minority,2025-11-18,75000000,,CB Insights,2026-08-27
Freenome,Reverse Merger,2025-07-20,,1100000000,CB Insights,2026-08-27
Freenome,Series F,2024-02-15,254000000,,CB Insights,2026-08-27
Freenome,Unattributed VC,2023-01-01,,,CB Insights,2026-08-27
Freenome,Series E,2022-01-11,290000000,,CB Insights,2026-08-27
Freenome,Series D,2021-12-07,300000000,,CB Insights,2026-08-27
Freenome,Series C,2020-08-26,270000000,,CB Insights,2026-08-27
Freenome,Series B,2019-07-24,160000000,,CB Insights,2026-08-27
Freenome,Grant,2018-06-28,,,CB Insights,2026-08-27
Freenome,Series A - II,2017-08-14,7000000,,CB Insights,2026-08-27
Freenome,Series A,2017-03-01,65000000,,CB Insights,2026-08-27
Glean,Series F,2025-06-10,150000000,7200000000,CB Insights,2026-08-27
Glean,Secondary Market,2025-01-22,,,CB Insights,2026-08-27
Glean,Series E,2024-09-10,260000000,4600000000,CB Insights,2026-08-27
Glean,Incubator/Accelerator,2024-04-04,,,CB Insights,2026-08-27
Glean,Series D,2024-02-27,200000000,2200000000,CB Insights,2026-08-27
Glean,Series C,2022-05-18,100000000,1000000000,CB Insights,2026-08-27
Glean,Series B,2021-06-15,40000000,,CB Insights,2026-08-27
Glean,Series A,2019-01-01,15300000,,CB Insights,2026-08-27
Glean,Other Investors,,,,CB Insights,2026-08-27
Hippocratic AI,Series C,2025-11-03,126000000,3500000000,CB Insights,2026-08-27
Hippocratic AI,Unattributed VC,2025-06-01,,,CB Insights,2026-08-27
Hippocratic AI,Corporate Minority,2025-05-07,,,CB Insights,2026-08-27
Hippocratic AI,Series B,2025-01-09,141000000,1640000000,CB Insights,2026-08-27
Hippocratic AI,Series A - II,2024-09-19,17000000,,CB Insights,2026-08-27
Hippocratic AI,Series A,2024-03-18,53000000,500000000,CB Insights,2026-08-27
Hippocratic AI,Seed VC - II,2023-07-25,15000000,,CB Insights,2026-08-27
Hippocratic AI,Seed VC,2023-05-16,50000000,,CB Insights,2026-08-27
Moon Surgical,Series B,2023-05-17,55400002,,CB Insights,2026-08-27
Moon Surgical,Incubator/Accelerator - II,2022-09-20,,,CB Insights,2026-08-27
Moon Surgical,Series A,2022-06-07,31299999,,CB Insights,2026-08-27
Moon Surgical,Incubator/Accelerator,2022-06-07,,,CB Insights,2026-08-27
Moon Surgical,Seed VC,2020-07-02,3380000,,CB Insights,2026-08-27
Moon Surgical,Grant,2020-07-02,2140000,,CB Insights,2026-08-27
Moon Surgical,Other Investors,,,,CB Insights,2026-08-27
Neuralink,Series E - II,2026-05-06,,,CB Insights,2026-08-27
Neuralink,Series E,2025-05-27,650000000,9650000000,CB Insights,2026-08-27
Neuralink,Series D,2023-08-07,323239990,,CB Insights,2026-08-27
Neuralink,Valuation Change,2023-06-05,,5000000000,CB Insights,2026-08-27
Neuralink,Series C,2021-07-30,205000000,2000000000,CB Insights,2026-08-27
Neuralink,Unattributed VC - II,2019-07-26,,,CB Insights,2026-08-27
Neuralink,Series B,2019-05-10,51310001,,CB Insights,2026-08-27
Neuralink,Unattributed VC,2019-01-01,,,CB Insights,2026-08-27
Neuralink,Series A,2017-08-25,100150002,,CB Insights,2026-08-27
Neuralink,Other Investors,,,,CB Insights,2026-08-27
